from,to,datetime
473-110-5271,898-177-6861,2017-11-02T09:39:53.400895
733-187-2959,610-263-7288,2017-01-29T19:13:59.204880
879-692-2301,287-287-2300,2017-10-16T13:08:19.754231
898-177-6861,995-055-1114,2017-04-15T05:51:34.567282
908-589-1859,363-649-7771,2017-07-17T12:17:54.454532
603-627-2229,976-174-4409,2017-07-25T15:41:41.702357
683-712-6411,361-039-4345,2017-03-31T08:04:36.449305
472-537-1905,433-599-1726,2017-11-10T22:20:18.322388
100-830-1428,562-069-8665,2017-01-06T16:16:22.282433
737-711-6365,706-073-4548,2017-06-13T20:07:33.676185
549-323-0194,603-627-2229,2017-11-20T15:30:02.577551
879-692-2301,376-226-1704,2017-04-14T05:38:53.535521
226-031-6566,753-124-4994,2017-01-05T11:14:51.161430
995-055-1114,828-812-0718,2017-07-04T03:50:41.762081
737-711-6365,706-073-4548,2017-02-11T20:59:59.812705
473-110-5271,887-628-4270,2017-05-14T12:11:18.951005
604-107-7176,376-608-7518,2017-08-11T07:03:10.514035
315-099-0962,887-628-4270,2017-04-05T14:48:15.396315
473-110-5271,905-168-6189,2017-09-28T14:14:55.010967
675-012-7149,370-187-0070,2017-10-01T21:05:11.754637
239-262-5534,845-198-2046,2017-05-17T08:35:53.494009
573-488-8760,905-408-8460,2017-04-14T03:08:34.244689
361-039-4345,995-055-1114,2017-05-25T22:14:09.443592
813-488-7105,728-062-6327,2017-10-31T17:30:22.581965
810-044-1619,287-287-2300,2017-09-22T07:23:47.022441
960-664-8315,610-263-7288,2017-10-14T02:35:01.689065
363-649-7771,255-827-4711,2017-11-16T04:48:42.726890
986-821-7725,537-537-7090,2017-07-30T05:28:40.040778
810-044-1619,675-012-7149,2017-11-16T17:59:21.768841
562-069-8665,315-099-0962,2017-05-27T10:51:36.253472
315-508-5665,139-381-4068,2017-12-19T09:54:41.148451
508-189-5066,976-174-4409,2017-04-12T01:00:09.602696
733-187-2959,455-854-3710,2017-08-02T18:08:53.471178
508-189-5066,965-814-3291,2017-10-08T12:50:26.555751
986-821-7725,326-348-8171,2017-08-31T21:39:48.166441
100-830-1428,810-044-1619,2017-05-28T06:55:40.548950
562-069-8665,271-788-9365,2017-03-20T19:09:41.376355
186-729-3123,995-055-1114,2017-10-15T18:15:11.542372
315-099-0962,328-866-0427,2017-03-19T04:19:47.414683
549-323-0194,799-488-0562,2017-08-05T07:29:43.038986
363-649-7771,573-488-8760,2017-01-23T13:37:07.421416
648-457-8297,728-062-6327,2017-09-21T20:12:10.768871
186-729-3123,706-073-4548,2017-04-24T15:36:11.765724
316-259-5236,905-168-6189,2017-09-03T01:06:24.172232
861-878-1772,799-183-9806,2017-04-15T09:06:44.654032
648-457-8297,218-810-9957,2017-10-01T10:25:13.262069
737-711-6365,224-307-9607,2017-12-06T19:19:37.780737
737-711-6365,537-537-7090,2017-04-23T03:30:56.638438
675-012-7149,727-551-2106,2017-07-04T13:49:20.591565
472-537-1905,376-608-7518,2017-12-16T20:05:00.853517
799-488-0562,441-486-8744,2017-01-13T15:47:35.708885
479-518-8841,949-372-6727,2017-07-08T05:50:32.708388
116-475-3164,252-663-3819,2017-09-08T06:21:58.076939
361-039-4345,604-107-7176,2017-03-16T04:26:17.345034
361-039-4345,363-649-7771,2017-01-31T23:17:49.734708
905-168-6189,376-608-7518,2017-04-03T08:06:48.528858
604-107-7176,559-713-1835,2017-07-20T20:05:54.054380
683-712-6411,784-882-5256,2017-04-09T20:20:15.911946
585-337-8204,733-187-2959,2017-06-20T16:59:59.074819
960-664-8315,976-174-4409,2017-08-20T03:57:21.188634
995-055-1114,316-259-5236,2017-10-30T06:02:33.821935
960-664-8315,367-042-6173,2017-01-15T21:33:33.118549
549-323-0194,799-183-9806,2017-05-06T10:21:29.211662
995-055-1114,458-246-9608,2017-07-24T11:14:24.715972
995-055-1114,822-885-9453,2017-11-03T23:50:54.349780
472-537-1905,376-226-1704,2017-07-17T08:42:32.220300
508-189-5066,610-263-7288,2017-09-18T14:35:37.263656
604-107-7176,326-348-8171,2017-05-31T11:33:12.844920
603-627-2229,158-576-4578,2017-08-01T06:20:05.037824
186-729-3123,610-263-7288,2017-01-15T05:53:57.293796
479-518-8841,403-275-0541,2017-11-05T16:28:50.016195
100-830-1428,845-198-2046,2017-01-14T13:49:47.540100
186-729-3123,610-263-7288,2017-02-01T20:56:50.751979
479-518-8841,585-337-8204,2017-07-14T19:48:24.062041
995-055-1114,879-692-2301,2017-01-06T14:30:25.593257
441-486-8744,296-845-8815,2017-08-05T07:40:28.329398
737-711-6365,965-814-3291,2017-05-09T06:18:50.303853
683-712-6411,224-307-9607,2017-09-22T01:37:20.150279
675-012-7149,644-097-7772,2017-07-23T07:50:27.533933
562-069-8665,995-055-1114,2017-04-15T21:56:06.728149
315-099-0962,932-432-3898,2017-12-24T22:57:06.335284
810-044-1619,755-837-6504,2017-05-23T23:17:39.520312
648-457-8297,733-187-2959,2017-10-25T08:23:03.698714
879-692-2301,370-187-0070,2017-01-23T22:06:07.525382
604-107-7176,819-849-1804,2017-03-25T09:51:23.067513
361-039-4345,905-168-6189,2017-04-03T04:36:00.953364
879-692-2301,573-488-8760,2017-11-06T04:44:36.526669
472-537-1905,901-672-4727,2017-10-17T06:50:57.545845
472-537-1905,901-672-4727,2017-11-08T17:38:27.190306
100-830-1428,610-263-7288,2017-08-03T23:30:39.777081
226-031-6566,361-039-4345,2017-09-18T23:32:26.411420
118-360-4135,648-457-8297,2017-03-12T18:14:55.770301
589-416-9564,458-246-9608,2017-11-03T21:53:59.303479
433-599-1726,341-119-2595,2017-12-07T02:54:26.990697
472-537-1905,158-576-4578,2017-08-24T19:09:13.634936
479-518-8841,737-711-6365,2017-06-25T18:41:22.414322
879-692-2301,226-031-6566,2017-03-05T17:02:58.511384
186-729-3123,328-866-0427,2017-01-26T05:43:22.000476
733-187-2959,287-287-2300,2017-08-25T02:08:10.816960
733-187-2959,472-537-1905,2017-10-18T07:22:11.889468
403-275-0541,603-627-2229,2017-07-07T05:15:02.985497
221-827-1070,608-079-4930,2017-05-09T04:15:17.022208
472-537-1905,537-537-7090,2017-03-20T09:09:18.238774
370-187-0070,949-372-6727,2017-10-11T16:56:46.231830
458-246-9608,549-323-0194,2017-03-18T20:43:07.082816
441-486-8744,376-608-7518,2017-03-23T09:23:53.038703
239-262-5534,441-486-8744,2017-06-17T09:40:11.071170
986-821-7725,965-814-3291,2017-04-16T18:34:39.594564
473-110-5271,784-882-5256,2017-09-04T01:03:25.697470
894-374-8558,733-187-2959,2017-09-03T16:55:02.283597
562-069-8665,139-381-4068,2017-04-21T09:30:55.400463
861-878-1772,725-626-2996,2017-02-21T21:59:28.215276
118-360-4135,810-044-1619,2017-10-23T00:17:58.459983
363-649-7771,995-055-1114,2017-09-04T00:11:10.328718
648-457-8297,388-647-9826,2017-02-19T13:19:38.440426
403-275-0541,218-810-9957,2017-03-14T02:13:50.979711
370-187-0070,585-337-8204,2017-09-01T01:08:35.728778
905-168-6189,644-097-7772,2017-03-27T10:05:13.711721
315-099-0962,589-416-9564,2017-02-09T16:18:35.557141
370-187-0070,100-830-1428,2017-12-16T03:01:18.090654
458-246-9608,455-854-3710,2017-01-18T11:02:51.034224
458-246-9608,433-599-1726,2017-06-03T21:30:34.531040
239-262-5534,608-079-4930,2017-02-10T22:21:53.044477
861-878-1772,765-064-7110,2017-05-04T22:48:32.933996
363-649-7771,179-506-3473,2017-11-26T03:24:33.321741
589-416-9564,829-644-5392,2017-01-06T15:38:22.699528
100-830-1428,905-168-6189,2017-12-10T19:22:22.345710
905-408-8460,376-608-7518,2017-10-11T02:51:38.707295
604-107-7176,158-576-4578,2017-02-24T03:36:25.665669
441-486-8744,472-537-1905,2017-07-25T15:09:31.515318
819-849-1804,441-486-8744,2017-06-09T08:19:30.789012
433-599-1726,403-275-0541,2017-02-18T04:00:01.017057
898-177-6861,414-128-3556,2017-02-09T20:36:38.417262
361-039-4345,252-663-3819,2017-02-23T12:04:19.516751
441-486-8744,573-488-8760,2017-03-25T21:55:39.835341
894-374-8558,995-055-1114,2017-01-03T11:09:28.726136
221-827-1070,905-408-8460,2017-05-23T08:38:07.450184
603-627-2229,725-626-2996,2017-02-14T07:23:04.749813
370-187-0070,116-475-3164,2017-04-11T19:17:04.082559
239-262-5534,845-198-2046,2017-12-15T13:05:44.535409
315-099-0962,887-628-4270,2017-05-17T02:48:15.679564
644-097-7772,315-099-0962,2017-11-16T00:33:17.256678
473-110-5271,644-097-7772,2017-01-26T08:20:41.589854
363-649-7771,472-537-1905,2017-07-29T22:03:49.897852
226-031-6566,361-039-4345,2017-09-08T00:49:22.922301
403-275-0541,158-576-4578,2017-05-09T20:16:57.415768
100-830-1428,845-198-2046,2017-08-27T18:19:02.961525
644-097-7772,315-508-5665,2017-03-04T09:48:14.736532
472-537-1905,414-128-3556,2017-12-15T18:15:03.842528
898-177-6861,458-246-9608,2017-08-06T13:33:34.991441
960-664-8315,349-674-8673,2017-01-16T22:07:17.677461
473-110-5271,589-416-9564,2017-01-10T17:48:37.725668
315-099-0962,604-107-7176,2017-05-27T06:33:27.844276
315-508-5665,310-498-2762,2017-09-05T08:07:02.080644
186-729-3123,315-508-5665,2017-07-31T06:19:53.424077
458-246-9608,195-526-2361,2017-02-28T16:28:07.649777
549-323-0194,683-712-6411,2017-08-27T00:12:55.415987
315-508-5665,589-416-9564,2017-02-24T05:28:11.519694
508-189-5066,995-055-1114,2017-11-15T18:14:55.618499
585-337-8204,784-882-5256,2017-06-29T17:15:06.666878
433-599-1726,949-372-6727,2017-04-26T10:14:45.541451
315-508-5665,376-608-7518,2017-04-11T08:06:49.522013
810-044-1619,226-031-6566,2017-04-22T14:38:44.254261
894-374-8558,905-168-6189,2017-09-27T11:24:57.782527
226-031-6566,414-128-3556,2017-04-11T08:14:54.295843
508-189-5066,328-866-0427,2017-03-09T10:44:41.787028
932-432-3898,905-168-6189,2017-01-02T20:41:39.044373
508-189-5066,861-878-1772,2017-09-16T10:11:07.925465
239-262-5534,559-713-1835,2017-05-14T10:11:59.458817
960-664-8315,179-506-3473,2017-11-27T14:42:08.900684
905-168-6189,100-830-1428,2017-12-13T12:30:58.007585
799-488-0562,683-712-6411,2017-07-13T10:03:08.279005
683-712-6411,179-506-3473,2017-05-25T17:41:33.173140
549-323-0194,370-187-0070,2017-05-26T13:09:39.156718
100-830-1428,158-576-4578,2017-09-02T21:45:19.905065
363-649-7771,235-176-4381,2017-09-29T16:58:19.636470
116-475-3164,753-124-4994,2017-01-02T10:01:40.475740
932-432-3898,828-812-0718,2017-06-03T08:44:23.074890
363-649-7771,765-064-7110,2017-06-02T06:14:23.504309
932-432-3898,727-551-2106,2017-10-08T02:35:00.628697
118-360-4135,990-633-6553,2017-03-25T16:15:54.945556
908-589-1859,559-713-1835,2017-11-13T00:26:01.218309
905-168-6189,479-518-8841,2017-09-04T21:05:54.560086
573-488-8760,706-073-4548,2017-05-31T03:30:43.353553
813-488-7105,361-039-4345,2017-09-07T10:22:54.177614
898-177-6861,976-174-4409,2017-07-16T09:37:00.067760
585-337-8204,573-488-8760,2017-03-25T22:16:40.927109
239-262-5534,603-627-2229,2017-02-16T12:26:30.415723
905-408-8460,828-812-0718,2017-01-13T12:28:44.083743
908-589-1859,573-488-8760,2017-01-10T21:44:59.476558
683-712-6411,100-830-1428,2017-08-19T14:56:10.833252
898-177-6861,194-751-0726,2017-08-01T22:03:45.981822
479-518-8841,733-187-2959,2017-12-12T13:35:37.332358
644-097-7772,376-608-7518,2017-07-20T06:10:52.229953
960-664-8315,905-168-6189,2017-10-21T20:29:16.309266
549-323-0194,901-672-4727,2017-10-07T11:35:42.197910
737-711-6365,221-827-1070,2017-04-19T18:58:20.294844
100-830-1428,116-475-3164,2017-05-28T07:52:05.141619
683-712-6411,813-488-7105,2017-01-11T09:04:53.534106
879-692-2301,819-849-1804,2017-05-08T04:16:27.110212
675-012-7149,296-845-8815,2017-01-29T08:38:15.415636
733-187-2959,296-845-8815,2017-12-14T17:16:07.142930
905-168-6189,186-729-3123,2017-03-15T20:08:48.132573
675-012-7149,224-307-9607,2017-07-22T18:18:28.464728
370-187-0070,194-751-0726,2017-02-11T09:56:02.067177
361-039-4345,604-107-7176,2017-03-23T21:37:24.101108
908-589-1859,603-627-2229,2017-10-28T05:09:09.549996
737-711-6365,326-348-8171,2017-04-18T12:39:06.300080
116-475-3164,284-762-6101,2017-01-16T15:44:54.709892
799-488-0562,194-751-0726,2017-05-19T01:01:45.149544
186-729-3123,995-055-1114,2017-07-20T02:31:39.682448
100-830-1428,610-263-7288,2017-01-11T07:03:49.318544
648-457-8297,370-187-0070,2017-05-10T21:17:47.230338
799-488-0562,367-042-6173,2017-08-26T00:39:46.312428
573-488-8760,562-069-8665,2017-09-04T15:27:13.955699
905-168-6189,100-830-1428,2017-02-13T21:05:13.081198
733-187-2959,186-729-3123,2017-06-24T23:03:20.913301
473-110-5271,370-187-0070,2017-05-30T07:48:28.758110
898-177-6861,585-337-8204,2017-01-10T02:01:37.583531
363-649-7771,195-526-2361,2017-04-01T00:43:03.914581
473-110-5271,195-526-2361,2017-07-17T10:35:30.494924
315-099-0962,894-374-8558,2017-02-09T14:28:05.471617
562-069-8665,271-788-9365,2017-02-06T01:39:24.420390
472-537-1905,887-628-4270,2017-04-28T03:43:05.062668
118-360-4135,585-337-8204,2017-11-05T10:29:31.558288
315-099-0962,608-079-4930,2017-04-04T05:24:51.579573
589-416-9564,810-044-1619,2017-12-29T06:41:46.439368
799-488-0562,226-031-6566,2017-01-08T12:28:08.996534
894-374-8558,728-062-6327,2017-11-24T17:03:31.953998
508-189-5066,908-589-1859,2017-07-09T11:19:20.677733
799-488-0562,559-713-1835,2017-11-07T21:04:30.683404
473-110-5271,388-647-9826,2017-10-05T12:52:15.109602
549-323-0194,403-275-0541,2017-11-09T16:27:22.062940
813-488-7105,901-672-4727,2017-11-22T05:45:49.239255
403-275-0541,218-810-9957,2017-03-08T01:37:47.684142
879-692-2301,995-055-1114,2017-08-20T16:45:51.403175
118-360-4135,326-348-8171,2017-04-23T11:43:41.893716
433-599-1726,139-381-4068,2017-05-26T13:18:33.585574
562-069-8665,683-712-6411,2017-05-26T04:05:39.051465
370-187-0070,239-262-5534,2017-05-17T14:08:16.600118
226-031-6566,559-713-1835,2017-07-14T18:29:41.961829
737-711-6365,549-323-0194,2017-01-26T08:03:04.416389
908-589-1859,810-044-1619,2017-02-17T10:54:38.697870
908-589-1859,733-187-2959,2017-03-17T11:23:52.742639
799-488-0562,683-712-6411,2017-05-18T00:22:24.813481
479-518-8841,901-672-4727,2017-11-20T17:54:55.622992
441-486-8744,230-006-7468,2017-06-10T10:34:28.899472
898-177-6861,455-854-3710,2017-11-08T10:30:02.290468
908-589-1859,755-837-6504,2017-12-11T01:19:25.109119
675-012-7149,186-729-3123,2017-01-14T11:43:05.358035
370-187-0070,784-882-5256,2017-08-16T11:44:10.761079
799-488-0562,562-069-8665,2017-02-06T11:27:39.249118
819-849-1804,784-882-5256,2017-12-04T22:11:21.450695
733-187-2959,235-176-4381,2017-12-19T20:06:30.731676
221-827-1070,861-878-1772,2017-10-04T15:22:48.895471
479-518-8841,822-885-9453,2017-06-23T06:07:16.672950
908-589-1859,799-488-0562,2017-04-17T12:46:13.177445
644-097-7772,221-827-1070,2017-05-31T05:12:20.353459
648-457-8297,158-576-4578,2017-06-11T20:54:31.175254
905-168-6189,559-713-1835,2017-07-27T18:20:18.225489
315-508-5665,932-432-3898,2017-11-27T13:52:52.455647
458-246-9608,367-042-6173,2017-06-21T13:02:24.729783
573-488-8760,473-110-5271,2017-10-04T14:20:01.262260
604-107-7176,755-837-6504,2017-06-14T15:25:02.764697
810-044-1619,585-337-8204,2017-10-02T03:59:55.167251
433-599-1726,455-854-3710,2017-09-12T07:43:11.407592
644-097-7772,784-882-5256,2017-10-13T08:06:27.476855
819-849-1804,644-097-7772,2017-08-04T12:45:45.985836
819-849-1804,765-064-7110,2017-07-05T05:58:45.858457
458-246-9608,376-226-1704,2017-03-14T19:07:30.417087
370-187-0070,549-323-0194,2017-11-05T14:31:41.873953
813-488-7105,118-360-4135,2017-07-03T09:14:05.106369
573-488-8760,139-381-4068,2017-07-16T08:49:00.014173
683-712-6411,441-486-8744,2017-01-08T16:09:49.763429
908-589-1859,828-812-0718,2017-12-20T18:33:03.730042
861-878-1772,118-360-4135,2017-03-13T01:39:28.027351
118-360-4135,195-526-2361,2017-08-22T01:17:10.465404
186-729-3123,224-307-9607,2017-01-18T01:05:12.305777
737-711-6365,965-814-3291,2017-08-22T06:57:22.696597
737-711-6365,508-189-5066,2017-02-17T13:45:00.848534
589-416-9564,224-307-9607,2017-05-19T09:22:05.130865
960-664-8315,287-287-2300,2017-12-31T03:01:08.868329
186-729-3123,905-168-6189,2017-08-21T04:58:38.887797
603-627-2229,195-526-2361,2017-01-09T20:21:41.863034
905-168-6189,901-672-4727,2017-03-12T13:11:59.653626
589-416-9564,537-537-7090,2017-01-09T06:38:50.555630
252-663-3819,845-198-2046,2017-01-19T09:52:32.622786
118-360-4135,828-812-0718,2017-02-06T22:08:15.094346
472-537-1905,218-810-9957,2017-01-18T10:48:23.844672
441-486-8744,733-187-2959,2017-08-12T19:41:23.879761
604-107-7176,932-432-3898,2017-03-07T12:32:44.655565
894-374-8558,573-488-8760,2017-07-13T10:18:59.557721
221-827-1070,239-262-5534,2017-01-17T10:03:56.176014
370-187-0070,255-827-4711,2017-01-24T03:15:37.271093
186-729-3123,118-360-4135,2017-02-11T12:57:55.638072
316-259-5236,549-323-0194,2017-09-22T17:00:18.227463
960-664-8315,186-729-3123,2017-02-01T13:26:50.631641
573-488-8760,326-348-8171,2017-10-19T03:51:58.251166
458-246-9608,376-226-1704,2017-11-22T16:07:43.851331
473-110-5271,559-713-1835,2017-02-18T14:54:53.759801
813-488-7105,828-812-0718,2017-08-13T04:36:16.604657
562-069-8665,908-589-1859,2017-09-24T14:57:14.424986
813-488-7105,158-576-4578,2017-07-13T19:02:03.563356
905-168-6189,819-849-1804,2017-03-03T12:39:28.276683
116-475-3164,965-814-3291,2017-01-17T12:49:20.708545
675-012-7149,727-551-2106,2017-01-20T16:57:53.801730
905-168-6189,753-124-4994,2017-03-23T12:04:16.346006
403-275-0541,561-817-9890,2017-02-14T02:05:51.798071
361-039-4345,433-599-1726,2017-08-03T18:01:37.811630
932-432-3898,573-488-8760,2017-01-13T20:13:44.916114
239-262-5534,363-649-7771,2017-08-16T21:21:17.635588
573-488-8760,608-079-4930,2017-05-20T08:31:51.556535
819-849-1804,905-168-6189,2017-03-09T21:33:45.093185
986-821-7725,585-337-8204,2017-08-04T21:10:30.048563
585-337-8204,603-627-2229,2017-03-22T01:27:47.992365
315-099-0962,784-882-5256,2017-04-19T13:26:50.024386
239-262-5534,765-064-7110,2017-04-03T11:13:06.163541
799-488-0562,118-360-4135,2017-12-07T08:04:19.676340
905-408-8460,414-128-3556,2017-08-25T16:09:44.376972
995-055-1114,603-627-2229,2017-08-19T07:04:21.893430
239-262-5534,226-031-6566,2017-04-21T12:40:41.224175
810-044-1619,326-348-8171,2017-07-08T02:20:09.671048
562-069-8665,573-488-8760,2017-01-16T21:09:08.967957
648-457-8297,315-508-5665,2017-03-30T18:06:01.565990
675-012-7149,845-198-2046,2017-05-13T04:47:45.372124
960-664-8315,252-663-3819,2017-12-01T05:19:13.387140
472-537-1905,296-845-8815,2017-11-22T15:09:45.502284
813-488-7105,932-432-3898,2017-06-07T14:24:18.978685
995-055-1114,179-506-3473,2017-09-27T06:50:23.900101
810-044-1619,315-508-5665,2017-07-04T18:51:23.868660
239-262-5534,559-713-1835,2017-03-18T07:21:01.379577
644-097-7772,284-762-6101,2017-06-25T11:47:29.881737
549-323-0194,235-176-4381,2017-04-07T09:52:35.289808
370-187-0070,562-069-8665,2017-08-02T08:49:20.278132
361-039-4345,441-486-8744,2017-01-05T11:50:33.001936
363-649-7771,230-006-7468,2017-01-14T10:26:33.099784
675-012-7149,118-360-4135,2017-09-25T16:54:10.199534
226-031-6566,755-837-6504,2017-05-27T18:29:21.618852
370-187-0070,145-788-8928,2017-06-10T09:52:39.252253
100-830-1428,363-649-7771,2017-08-17T07:18:46.157945
549-323-0194,610-263-7288,2017-07-17T05:08:35.581330
252-663-3819,755-837-6504,2017-06-08T09:37:54.945222
737-711-6365,949-372-6727,2017-10-12T18:14:33.591051
100-830-1428,905-168-6189,2017-11-26T05:59:20.819526
562-069-8665,361-039-4345,2017-06-17T04:14:46.412435
562-069-8665,458-246-9608,2017-05-21T05:37:11.526734
370-187-0070,221-827-1070,2017-08-05T15:30:53.680910
879-692-2301,549-323-0194,2017-07-14T18:31:46.922770
737-711-6365,239-262-5534,2017-07-13T18:31:33.198472
644-097-7772,960-664-8315,2017-06-18T18:22:38.784874
932-432-3898,363-649-7771,2017-12-18T17:12:03.649308
905-168-6189,296-845-8815,2017-10-29T08:27:23.710748
239-262-5534,765-064-7110,2017-01-18T21:29:45.959551
472-537-1905,559-713-1835,2017-03-24T21:36:47.079768
549-323-0194,388-647-9826,2017-07-26T02:17:21.925782
799-488-0562,976-174-4409,2017-03-11T05:26:16.454747
960-664-8315,562-069-8665,2017-10-23T05:15:17.196979
585-337-8204,765-064-7110,2017-08-27T04:54:08.141852
361-039-4345,326-348-8171,2017-04-07T04:04:01.017543
226-031-6566,296-845-8815,2017-01-20T07:20:36.968275
472-537-1905,810-044-1619,2017-01-28T11:47:47.573033
861-878-1772,799-183-9806,2017-07-13T06:28:05.095023
585-337-8204,727-551-2106,2017-04-14T03:12:10.643757
