calling,called,date,time
315-099-0962,604-107-7176,2017-05-27,06:33:27.844276
315-508-5665,310-498-2762,2017-09-05,08:07:02.080644
186-729-3123,315-508-5665,2017-07-31,06:19:53.424077
458-246-9608,195-526-2361,2017-02-28,16:28:07.649777
549-323-0194,683-712-6411,2017-08-27,00:12:55.415987
315-508-5665,589-416-9564,2017-02-24,05:28:11.519694
508-189-5066,995-055-1114,2017-11-15,18:14:55.618499
585-337-8204,784-882-5256,2017-06-29,17:15:06.666878
433-599-1726,949-372-6727,2017-04-26,10:14:45.541451
315-508-5665,376-608-7518,2017-04-11,08:06:49.522013
810-044-1619,226-031-6566,2017-04-22,14:38:44.254261
894-374-8558,905-168-6189,2017-09-27,11:24:57.782527
226-031-6566,414-128-3556,2017-04-11,08:14:54.295843
508-189-5066,328-866-0427,2017-03-09,10:44:41.787028
932-432-3898,905-168-6189,2017-01-02,20:41:39.044373
508-189-5066,861-878-1772,2017-09-16,10:11:07.925465
239-262-5534,559-713-1835,2017-05-14,10:11:59.458817
960-664-8315,179-506-3473,2017-11-27,14:42:08.900684
905-168-6189,100-830-1428,2017-12-13,12:30:58.007585
799-488-0562,683-712-6411,2017-07-13,10:03:08.279005
683-712-6411,179-506-3473,2017-05-25,17:41:33.173140
549-323-0194,370-187-0070,2017-05-26,13:09:39.156718
100-830-1428,158-576-4578,2017-09-02,21:45:19.905065
363-649-7771,235-176-4381,2017-09-29,16:58:19.636470
116-475-3164,753-124-4994,2017-01-02,10:01:40.475740
932-432-3898,828-812-0718,2017-06-03,08:44:23.074890
363-649-7771,765-064-7110,2017-06-02,06:14:23.504309
932-432-3898,727-551-2106,2017-10-08,02:35:00.628697
118-360-4135,990-633-6553,2017-03-25,16:15:54.945556
908-589-1859,559-713-1835,2017-11-13,00:26:01.218309
905-168-6189,479-518-8841,2017-09-04,21:05:54.560086
573-488-8760,706-073-4548,2017-05-31,03:30:43.353553
813-488-7105,361-039-4345,2017-09-07,10:22:54.177614
898-177-6861,976-174-4409,2017-07-16,09:37:00.067760
585-337-8204,573-488-8760,2017-03-25,22:16:40.927109
239-262-5534,603-627-2229,2017-02-16,12:26:30.415723
905-408-8460,828-812-0718,2017-01-13,12:28:44.083743
908-589-1859,573-488-8760,2017-01-10,21:44:59.476558
683-712-6411,100-830-1428,2017-08-19,14:56:10.833252
898-177-6861,194-751-0726,2017-08-01,22:03:45.981822
479-518-8841,733-187-2959,2017-12-12,13:35:37.332358
644-097-7772,376-608-7518,2017-07-20,06:10:52.229953
960-664-8315,905-168-6189,2017-10-21,20:29:16.309266
549-323-0194,901-672-4727,2017-10-07,11:35:42.197910
737-711-6365,221-827-1070,2017-04-19,18:58:20.294844
100-830-1428,116-475-3164,2017-05-28,07:52:05.141619
683-712-6411,813-488-7105,2017-01-11,09:04:53.534106
879-692-2301,819-849-1804,2017-05-08,04:16:27.110212
675-012-7149,296-845-8815,2017-01-29,08:38:15.415636
733-187-2959,296-845-8815,2017-12-14,17:16:07.142930
905-168-6189,186-729-3123,2017-03-15,20:08:48.132573
675-012-7149,224-307-9607,2017-07-22,18:18:28.464728
370-187-0070,194-751-0726,2017-02-11,09:56:02.067177
361-039-4345,604-107-7176,2017-03-23,21:37:24.101108
908-589-1859,603-627-2229,2017-10-28,05:09:09.549996
737-711-6365,326-348-8171,2017-04-18,12:39:06.300080
116-475-3164,284-762-6101,2017-01-16,15:44:54.709892
799-488-0562,194-751-0726,2017-05-19,01:01:45.149544
186-729-3123,995-055-1114,2017-07-20,02:31:39.682448
100-830-1428,610-263-7288,2017-01-11,07:03:49.318544
648-457-8297,370-187-0070,2017-05-10,21:17:47.230338
799-488-0562,367-042-6173,2017-08-26,00:39:46.312428
573-488-8760,562-069-8665,2017-09-04,15:27:13.955699
905-168-6189,100-830-1428,2017-02-13,21:05:13.081198
733-187-2959,186-729-3123,2017-06-24,23:03:20.913301
473-110-5271,370-187-0070,2017-05-30,07:48:28.758110
898-177-6861,585-337-8204,2017-01-10,02:01:37.583531
363-649-7771,195-526-2361,2017-04-01,00:43:03.914581
473-110-5271,195-526-2361,2017-07-17,10:35:30.494924
315-099-0962,894-374-8558,2017-02-09,14:28:05.471617
562-069-8665,271-788-9365,2017-02-06,01:39:24.420390
472-537-1905,887-628-4270,2017-04-28,03:43:05.062668
118-360-4135,585-337-8204,2017-11-05,10:29:31.558288
315-099-0962,608-079-4930,2017-04-04,05:24:51.579573
589-416-9564,810-044-1619,2017-12-29,06:41:46.439368
799-488-0562,226-031-6566,2017-01-08,12:28:08.996534
894-374-8558,728-062-6327,2017-11-24,17:03:31.953998
508-189-5066,908-589-1859,2017-07-09,11:19:20.677733
799-488-0562,559-713-1835,2017-11-07,21:04:30.683404
473-110-5271,388-647-9826,2017-10-05,12:52:15.109602
549-323-0194,403-275-0541,2017-11-09,16:27:22.062940
813-488-7105,901-672-4727,2017-11-22,05:45:49.239255
403-275-0541,218-810-9957,2017-03-08,01:37:47.684142
879-692-2301,995-055-1114,2017-08-20,16:45:51.403175
118-360-4135,326-348-8171,2017-04-23,11:43:41.893716
433-599-1726,139-381-4068,2017-05-26,13:18:33.585574
562-069-8665,683-712-6411,2017-05-26,04:05:39.051465
370-187-0070,239-262-5534,2017-05-17,14:08:16.600118
226-031-6566,559-713-1835,2017-07-14,18:29:41.961829
737-711-6365,549-323-0194,2017-01-26,08:03:04.416389
908-589-1859,810-044-1619,2017-02-17,10:54:38.697870
908-589-1859,733-187-2959,2017-03-17,11:23:52.742639
799-488-0562,683-712-6411,2017-05-18,00:22:24.813481
479-518-8841,901-672-4727,2017-11-20,17:54:55.622992
441-486-8744,230-006-7468,2017-06-10,10:34:28.899472
898-177-6861,455-854-3710,2017-11-08,10:30:02.290468
908-589-1859,755-837-6504,2017-12-11,01:19:25.109119
675-012-7149,186-729-3123,2017-01-14,11:43:05.358035
370-187-0070,784-882-5256,2017-08-16,11:44:10.761079
799-488-0562,562-069-8665,2017-02-06,11:27:39.249118
819-849-1804,784-882-5256,2017-12-04,22:11:21.450695
733-187-2959,235-176-4381,2017-12-19,20:06:30.731676
221-827-1070,861-878-1772,2017-10-04,15:22:48.895471
479-518-8841,822-885-9453,2017-06-23,06:07:16.672950
908-589-1859,799-488-0562,2017-04-17,12:46:13.177445
644-097-7772,221-827-1070,2017-05-31,05:12:20.353459
648-457-8297,158-576-4578,2017-06-11,20:54:31.175254
905-168-6189,559-713-1835,2017-07-27,18:20:18.225489
315-508-5665,932-432-3898,2017-11-27,13:52:52.455647
458-246-9608,367-042-6173,2017-06-21,13:02:24.729783
573-488-8760,473-110-5271,2017-10-04,14:20:01.262260
604-107-7176,755-837-6504,2017-06-14,15:25:02.764697
810-044-1619,585-337-8204,2017-10-02,03:59:55.167251
433-599-1726,455-854-3710,2017-09-12,07:43:11.407592
644-097-7772,784-882-5256,2017-10-13,08:06:27.476855
819-849-1804,644-097-7772,2017-08-04,12:45:45.985836
819-849-1804,765-064-7110,2017-07-05,05:58:45.858457
458-246-9608,376-226-1704,2017-03-14,19:07:30.417087
370-187-0070,549-323-0194,2017-11-05,14:31:41.873953
813-488-7105,118-360-4135,2017-07-03,09:14:05.106369
573-488-8760,139-381-4068,2017-07-16,08:49:00.014173
683-712-6411,441-486-8744,2017-01-08,16:09:49.763429
908-589-1859,828-812-0718,2017-12-20,18:33:03.730042
861-878-1772,118-360-4135,2017-03-13,01:39:28.027351
118-360-4135,195-526-2361,2017-08-22,01:17:10.465404
186-729-3123,224-307-9607,2017-01-18,01:05:12.305777
737-711-6365,965-814-3291,2017-08-22,06:57:22.696597
737-711-6365,508-189-5066,2017-02-17,13:45:00.848534
589-416-9564,224-307-9607,2017-05-19,09:22:05.130865
960-664-8315,287-287-2300,2017-12-31,03:01:08.868329
186-729-3123,905-168-6189,2017-08-21,04:58:38.887797
603-627-2229,195-526-2361,2017-01-09,20:21:41.863034
905-168-6189,901-672-4727,2017-03-12,13:11:59.653626
589-416-9564,537-537-7090,2017-01-09,06:38:50.555630
252-663-3819,845-198-2046,2017-01-19,09:52:32.622786
118-360-4135,828-812-0718,2017-02-06,22:08:15.094346
472-537-1905,218-810-9957,2017-01-18,10:48:23.844672
441-486-8744,733-187-2959,2017-08-12,19:41:23.879761
604-107-7176,932-432-3898,2017-03-07,12:32:44.655565
894-374-8558,573-488-8760,2017-07-13,10:18:59.557721
221-827-1070,239-262-5534,2017-01-17,10:03:56.176014
370-187-0070,255-827-4711,2017-01-24,03:15:37.271093
186-729-3123,118-360-4135,2017-02-11,12:57:55.638072
316-259-5236,549-323-0194,2017-09-22,17:00:18.227463
960-664-8315,186-729-3123,2017-02-01,13:26:50.631641
573-488-8760,326-348-8171,2017-10-19,03:51:58.251166
458-246-9608,376-226-1704,2017-11-22,16:07:43.851331
473-110-5271,559-713-1835,2017-02-18,14:54:53.759801
813-488-7105,828-812-0718,2017-08-13,04:36:16.604657
562-069-8665,908-589-1859,2017-09-24,14:57:14.424986
813-488-7105,158-576-4578,2017-07-13,19:02:03.563356
905-168-6189,819-849-1804,2017-03-03,12:39:28.276683
116-475-3164,965-814-3291,2017-01-17,12:49:20.708545
675-012-7149,727-551-2106,2017-01-20,16:57:53.801730
905-168-6189,753-124-4994,2017-03-23,12:04:16.346006
403-275-0541,561-817-9890,2017-02-14,02:05:51.798071
361-039-4345,433-599-1726,2017-08-03,18:01:37.811630
932-432-3898,573-488-8760,2017-01-13,20:13:44.916114
239-262-5534,363-649-7771,2017-08-16,21:21:17.635588
573-488-8760,608-079-4930,2017-05-20,08:31:51.556535
819-849-1804,905-168-6189,2017-03-09,21:33:45.093185
986-821-7725,585-337-8204,2017-08-04,21:10:30.048563
585-337-8204,603-627-2229,2017-03-22,01:27:47.992365
315-099-0962,784-882-5256,2017-04-19,13:26:50.024386
239-262-5534,765-064-7110,2017-04-03,11:13:06.163541
799-488-0562,118-360-4135,2017-12-07,08:04:19.676340
905-408-8460,414-128-3556,2017-08-25,16:09:44.376972
995-055-1114,603-627-2229,2017-08-19,07:04:21.893430
239-262-5534,226-031-6566,2017-04-21,12:40:41.224175
810-044-1619,326-348-8171,2017-07-08,02:20:09.671048
562-069-8665,573-488-8760,2017-01-16,21:09:08.967957
648-457-8297,315-508-5665,2017-03-30,18:06:01.565990
675-012-7149,845-198-2046,2017-05-13,04:47:45.372124
960-664-8315,252-663-3819,2017-12-01,05:19:13.387140
472-537-1905,296-845-8815,2017-11-22,15:09:45.502284
813-488-7105,932-432-3898,2017-06-07,14:24:18.978685
995-055-1114,179-506-3473,2017-09-27,06:50:23.900101
810-044-1619,315-508-5665,2017-07-04,18:51:23.868660
239-262-5534,559-713-1835,2017-03-18,07:21:01.379577
644-097-7772,284-762-6101,2017-06-25,11:47:29.881737
549-323-0194,235-176-4381,2017-04-07,09:52:35.289808
370-187-0070,562-069-8665,2017-08-02,08:49:20.278132
361-039-4345,441-486-8744,2017-01-05,11:50:33.001936
363-649-7771,230-006-7468,2017-01-14,10:26:33.099784
675-012-7149,118-360-4135,2017-09-25,16:54:10.199534
226-031-6566,755-837-6504,2017-05-27,18:29:21.618852
370-187-0070,145-788-8928,2017-06-10,09:52:39.252253
100-830-1428,363-649-7771,2017-08-17,07:18:46.157945
549-323-0194,610-263-7288,2017-07-17,05:08:35.581330
252-663-3819,755-837-6504,2017-06-08,09:37:54.945222
737-711-6365,949-372-6727,2017-10-12,18:14:33.591051
100-830-1428,905-168-6189,2017-11-26,05:59:20.819526
562-069-8665,361-039-4345,2017-06-17,04:14:46.412435
562-069-8665,458-246-9608,2017-05-21,05:37:11.526734
370-187-0070,221-827-1070,2017-08-05,15:30:53.680910
879-692-2301,549-323-0194,2017-07-14,18:31:46.922770
737-711-6365,239-262-5534,2017-07-13,18:31:33.198472
644-097-7772,960-664-8315,2017-06-18,18:22:38.784874
932-432-3898,363-649-7771,2017-12-18,17:12:03.649308
905-168-6189,296-845-8815,2017-10-29,08:27:23.710748
239-262-5534,765-064-7110,2017-01-18,21:29:45.959551
472-537-1905,559-713-1835,2017-03-24,21:36:47.079768
549-323-0194,388-647-9826,2017-07-26,02:17:21.925782
799-488-0562,976-174-4409,2017-03-11,05:26:16.454747
960-664-8315,562-069-8665,2017-10-23,05:15:17.196979
585-337-8204,765-064-7110,2017-08-27,04:54:08.141852
361-039-4345,326-348-8171,2017-04-07,04:04:01.017543
226-031-6566,296-845-8815,2017-01-20,07:20:36.968275
472-537-1905,810-044-1619,2017-01-28,11:47:47.573033
861-878-1772,799-183-9806,2017-07-13,06:28:05.095023
585-337-8204,727-551-2106,2017-04-14,03:12:10.643757
